,precision,recall,thresholds,
86,0.131479445,0.99973863,0.004708333,0.23239565
87,0.131483964,0.99973863,0.004711905,0.23240271
88,0.131488484,0.99973863,0.004716667,0.23240977
89,0.131502046,0.99973863,0.004716667,0.232430954
90,0.131506567,0.99973863,0.004720833,0.232438017
91,0.131511088,0.99973863,0.004725,0.232445079
92,0.131520132,0.99973863,0.004729167,0.232459206
93,0.131524654,0.99973863,0.004732143,0.23246627
94,0.1315337,0.99973863,0.004733333,0.232480399
95,0.131538223,0.99973863,0.004733333,0.232487464
96,0.131551795,0.99973863,0.004741667,0.232508662
97,0.131560845,0.99973863,0.00475,0.232522796
98,0.131642346,0.99973863,0.00475,0.232650082
99,0.131646877,0.99973863,0.00475,0.232657158
100,0.131651408,0.99973863,0.004752381,0.232664234
101,0.131655939,0.99973863,0.004755952,0.23267131
102,0.131678601,0.99973863,0.004758333,0.232706698
103,0.131692202,0.99973863,0.004758333,0.232727936
104,0.131696736,0.99973863,0.004764286,0.232735017
105,0.131728484,0.99973863,0.004766667,0.232784591
106,0.131737558,0.99973863,0.004775,0.232798758
107,0.131751171,0.99973863,0.004775,0.232820013
108,0.131782946,0.99973863,0.004783333,0.232869623
109,0.131787486,0.99973863,0.004783333,0.232876712
110,0.131810193,0.99973863,0.004791667,0.232912163
111,0.131832908,0.99973863,0.004791667,0.232947625
112,0.131837452,0.99973863,0.004797222,0.232954718
113,0.131841996,0.99973863,0.0048,0.232961813
114,0.131846541,0.99973863,0.0048,0.232968907
115,0.131851086,0.99973863,0.0048,0.232976002
116,0.131855631,0.99973863,0.004805556,0.232983097
117,0.131864722,0.99973863,0.004808333,0.232997289
118,0.131869268,0.99973863,0.004815476,0.233004386
119,0.131896552,0.99973863,0.004816667,0.233046975
120,0.1319011,0.99973863,0.004822619,0.233054075
121,0.131914747,0.99973863,0.004825,0.233075376
122,0.131978469,0.99973863,0.004833333,0.233174835
123,0.13201491,0.99973863,0.004833333,0.233231707
124,0.132019466,0.99973863,0.004840476,0.233238818
125,0.132024023,0.99973863,0.004841667,0.23324593
126,0.13202858,0.99973863,0.004845238,0.233253041
127,0.132037695,0.99973863,0.00485,0.233267266
128,0.132042254,0.99973863,0.00485,0.233274379
129,0.132046812,0.99973863,0.004852381,0.233281493
130,0.132051371,0.99973863,0.004853571,0.233288607
131,0.132069608,0.99973863,0.004858333,0.233317067
132,0.132078729,0.99973863,0.004858333,0.2333313
133,0.132087851,0.99973863,0.004858333,0.233345534
134,0.132096975,0.99973863,0.004866667,0.233359771
135,0.132101537,0.99973863,0.004866667,0.233366889
136,0.132106099,0.99973863,0.00487381,0.233374009
137,0.132119789,0.99973863,0.004875,0.233395369
138,0.132183709,0.99973863,0.004875,0.233495101
139,0.132201984,0.99973863,0.004883333,0.233523612
140,0.132215693,0.99973863,0.004883333,0.233544999
141,0.132220263,0.99973863,0.004891667,0.233552129
142,0.132224834,0.99973863,0.004896825,0.23355926
143,0.13224312,0.99973863,0.0049,0.233587786
144,0.132247692,0.99973863,0.004902381,0.233594919
145,0.132252265,0.99973863,0.004908333,0.233602052
146,0.132256838,0.99973863,0.004910714,0.233609186
147,0.132343782,0.99973863,0.004916667,0.233744806
148,0.132385007,0.99973863,0.004916667,0.233809102
149,0.132389589,0.99973863,0.004920238,0.233816248
150,0.132394171,0.99973863,0.004925,0.233823395
151,0.132398754,0.99973863,0.004925,0.233830542
152,0.132421672,0.99973863,0.004933333,0.233866284
153,0.132426257,0.99973863,0.0049375,0.233873433
154,0.132430842,0.99973863,0.004940476,0.233880583
155,0.132453771,0.99973863,0.004941667,0.233916341
156,0.132458358,0.99973863,0.004945238,0.233923493
157,0.132467532,0.99973863,0.00495,0.2339378
