,precision,recall,thresholds,,
52,0.142705372,0.998794212,0.000580952,0.24972992,
53,0.14270947,0.998794212,0.000586667,0.249736194,
54,0.143141153,0.998392283,0.0006,0.250384296,
55,0.143145277,0.998392283,0.000605714,0.250390605,
56,0.143157652,0.998392283,0.000613333,0.250409537,
57,0.143165903,0.998392283,0.00062,0.250422159,
58,0.143178281,0.998392283,0.000626667,0.250441095,
59,0.143190661,0.998392283,0.000628571,0.250460034,
60,0.143219557,0.998392283,0.000633333,0.250504236,
61,0.143223686,0.998392283,0.00064,0.250510551,
62,0.143240204,0.998392283,0.00064,0.250535818,
63,0.143248465,0.998392283,0.00066,0.250548453,
64,0.143451264,0.998191318,0.000666667,0.250852251,
65,0.143463694,0.998191318,0.00068,0.250871256,
66,0.143467837,0.998191318,0.000685714,0.250877592,
67,0.143476126,0.998191318,0.000693333,0.250890264,
68,0.143484415,0.998191318,0.000695238,0.250902937,
69,0.14348856,0.998191318,0.0007,0.250909275,
70,0.143588113,0.998191318,0.0007,0.251061464,
71,0.143596415,0.998191318,0.000706667,0.251074155,
72,0.143621328,0.998191318,0.00072,0.251112235,
73,0.143654558,0.998191318,0.000733333,0.251163026,
74,0.143775333,0.997990354,0.000733333,0.251341229,
75,0.143787822,0.997990354,0.00074,0.251360312,
76,0.143796149,0.997990354,0.000742857,0.251373035,
77,0.143804477,0.997990354,0.000746667,0.25138576,
78,0.143812806,0.997990354,0.000753333,0.251398486,
79,0.143850298,0.997990354,0.00076,0.25145577,
80,0.143883641,0.997990354,0.000766667,0.251506711,
81,0.14388781,0.997990354,0.000766667,0.25151308,
82,0.14389198,0.997990354,0.000773333,0.251519449,
83,0.143896149,0.997990354,0.000773333,0.251525819,
84,0.143904489,0.997990354,0.00078,0.251538559,
85,0.143908659,0.997990354,0.000793333,0.25154493,
86,0.143912829,0.997990354,0.000793333,0.251551301,
87,0.143933685,0.997990354,0.0008,0.25158316,
88,0.144281354,0.997588424,0.0008,0.252101267,
89,0.144285548,0.997588424,0.000813333,0.252107669,
90,0.144298131,0.997588424,0.00082,0.252126876,
91,0.144302326,0.997588424,0.000822222,0.252133279,
92,0.144310716,0.997588424,0.000826667,0.252146086,
93,0.144344286,0.997588424,0.000833333,0.252197328,
94,0.144348484,0.997588424,0.000833333,0.252203734,
95,0.144369474,0.997588424,0.00084,0.252235772,
96,0.144373673,0.997588424,0.000847619,0.252242181,
97,0.144382071,0.997588424,0.00085,0.252254999,
98,0.144390471,0.997588424,0.000853333,0.252267819,
99,0.144394671,0.997588424,0.00086,0.252274229,
100,0.144542171,0.99738746,0.000866667,0.252492877,
101,0.144517256,0.997186495,0.00087619,0.252448424,
102,0.144529885,0.997186495,0.00088,0.252467691,
103,0.144534095,0.997186495,0.000888889,0.252474114,
104,0.144542515,0.997186495,0.000893333,0.252486961,
105,0.144673159,0.997186495,0.0009,0.252686256,
106,0.144694252,0.997186495,0.000906667,0.252718429,
107,0.144698472,0.997186495,0.000913333,0.252724865,
108,0.144702692,0.997186495,0.000914286,0.252731301,
109,0.144736458,0.997186495,0.00092,0.252782801,
110,0.144808265,0.997186495,0.000933333,0.252892309,
111,0.144846309,0.997186495,0.000933333,0.252950322,
112,0.144854766,0.997186495,0.00094,0.252963218,
113,0.144829801,0.996985531,0.000942857,0.252918685,
114,0.144834029,0.996985531,0.000946667,0.252925132,
115,0.144846715,0.996985531,0.000946667,0.252944476,
116,0.144850945,0.996985531,0.00095,0.252950924,
117,0.144884787,0.996985531,0.00096,0.253002524,
118,0.144889019,0.996985531,0.000961905,0.253008976,
119,0.144931771,0.996784566,0.000966667,0.25306768,
120,0.144936006,0.996784566,0.000966667,0.253074136,
121,0.144940241,0.996784566,0.000973333,0.253080593,
122,0.144919489,0.996583601,0.000973333,0.25304248,
123,0.144898735,0.996382637,0.00098,0.253004363,
124,0.144902969,0.996382637,0.000983333,0.253010819,
125,0.14491144,0.996382637,0.000986667,0.253023731,
126,0.145175464,0.995980707,0.001,0.2534131,
127,0.145150423,0.995779743,0.001006667,0.253368445,
128,0.145154675,0.995779743,0.001013333,0.253374923,
129,0.14516318,0.995779743,0.001013333,0.25338788,
130,0.145167433,0.995779743,0.00102,0.253394359,
131,0.145171686,0.995779743,0.001026667,0.253400839,
132,0.145180193,0.995779743,0.001026667,0.253413798,
133,0.145184447,0.995779743,0.001028571,0.253420279,
134,0.145218487,0.995779743,0.001033333,0.253472133,
135,0.145244028,0.995779743,0.001033333,0.253511038,
136,0.145265318,0.995779743,0.00104,0.253543468,
137,0.145269577,0.995779743,0.001046667,0.253549955,
138,0.145273836,0.995779743,0.00105,0.253556443,
139,0.145278095,0.995779743,0.001054286,0.25356293,
140,0.145282355,0.995779743,0.001057143,0.253569418,
141,0.14542733,0.995779743,0.001066667,0.253790207,
142,0.145435867,0.995779743,0.001066667,0.253803206,
143,0.145440136,0.995779743,0.001073333,0.253809707,
144,0.145444405,0.995779743,0.00108,0.253816207,
145,0.145457214,0.995779743,0.00108,0.253835711,
146,0.145465755,0.995779743,0.001085714,0.253848715,
147,0.145470025,0.995779743,0.001093333,0.253855218,
148,0.145474296,0.995779743,0.0011,0.253861721,
149,0.14559826,0.995779743,0.0011,0.254050451,
150,0.145619655,0.995779743,0.001106667,0.254083019,
151,0.145623935,0.995779743,0.001109524,0.254089534,
152,0.145628215,0.995779743,0.001113333,0.254096049,
153,0.145632495,0.995779743,0.001116667,0.254102564,
154,0.145641056,0.995779743,0.00112,0.254115596,
155,0.145756729,0.995779743,0.001133333,0.254291653,
156,0.145786748,0.995779743,0.001133333,0.254337337,
157,0.145795327,0.995779743,0.00114,0.254350393,
158,0.145799617,0.995779743,0.001146667,0.254356921,
159,0.145808198,0.995779743,0.001146667,0.254369979,
160,0.145812489,0.995779743,0.00115,0.254376508,
